state,total_confirmed,cured_discharged_migrated,deaths
Andaman and Nicobar,24445,1325,29
Andhra Pradesh,296609,209100,2732
Arunachal Pradesh,2741,1893,5
Assam,79667,56734,197
Bihar,106307,76452,468
Chandigarh,2216,1183,30
Chhattisgarh,16025,10598,150
Dadra and Nagar Haveli and Daman and Diu,1908,1459,2
Delhi,153367,138301,4214
Goa,11994,8058,111
Gujarat,79710,62595,2800
Haryana,48040,40610,550
Himachal Pradesh,4174,2834,19
Jammu and Kashmir,28892,21296,548
Jharkhand,23752,15051,250
Karnataka,233283,148562,4062
Kerala,46140,30025,169
Ladakh,1966,1368,14
Lakshadweep,0,0,0
Maharashtra,604358,428514,20265
Manipur,4687,2734,17
Meghalaya,1418,679,6
Mizoram,789,372,0
Madhya Pradesh,46385,35025,1128
Nagaland,3455,1530,8
Odisha,62294,43780,353
Puducherry,8029,4627,114
Punjab,32696,20180,863
Rajasthan,62630,47654,887
Sikkim,1187,701,1
Tamil Nadu,343945,283937,5886
Telengana,93937,72202,711
Tripura,7409,5404,62
Uttar Pradesh,158216,104808,2515
Uttarakhand,12493,8485,158
West Bengal,119578,89703,2473
